index,budget,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count,success_level,success,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,total_votes,total_stars,avg_stars
494,0,2625,tt0107611,en,Mr. Jones,6.579753,1993-10-08 00:00:00,0,114,Mr. Jones,5.9,35,0,t,92,382,117,1033,398,5910,576,4222,110,1561,14401,48598.5,3.374661481841539
495,0,31911,tt0107613,en,Mr. Wonderful,13.011091,1993-10-15 00:00:00,0,98,Mr. Wonderful,5.5,11,0,t,5,32,8,73,34,186,60,197,31,119,745,2568,3.4469798657718123
496,25000000,788,tt0107614,en,Mrs. Doubtfire,11.16553,1993-11-24 00:00:00,441286195,125,Mrs. Doubtfire,7,1638,50000000,t,3,37,6,50,3,124,9,119,4,68,423,1392.5,3.2919621749408985
497,0,21450,tt0107653,en,Naked,8.665198,1993-09-14 00:00:00,0,131,Naked,7.5,105,0,t,72,218,86,513,273,3083,1008,5461,763,3792,15269,59106,3.870980417840068
498,12000000,11231,tt0110657,en,The Next Karate Kid,9.9697,1994-07-18 00:00:00,15826984,107,The Next Karate Kid,4.8,202,24000000,f,3,41,3,91,21,146,11,69,3,19,407,1142.5,2.807125307125307
499,0,41588,tt0110649,en,The New Age,0.596207,1994-09-16 00:00:00,0,112,The New Age,4.8,5,0,t,1,34,1,101,13,196,12,50,3,10,421,1164,2.7648456057007125
500,20000000,10447,tt0110678,en,No Escape,9.715187,1994-04-29 00:00:00,15340000,118,No Escape,6.1,86,40000000,f,365,910,591,2566,2018,11781,3901,10317,1100,4024,37573,127490.5,3.3931413515024085
501,40000000,31586,tt0110687,en,North,15.534707,1994-07-22 00:00:00,0,87,North,4.8,67,80000000,f,15,75,7,108,24,424,78,646,135,584,2096,8025.5,3.8289599236641223
502,4000000,9300,tt0107756,en,Orlando,3.800785,1992-09-01 00:00:00,0,93,Orlando,6.7,53,8000000,f,237,793,224,906,308,1136,219,303,42,96,4264,9885,2.318245778611632
503,30000000,9559,tt0107808,en,A Perfect World,8.040589,1993-11-24 00:00:00,135130999,138,A Perfect World,7.2,376,60000000,t,1,10,,29,3,43,4,43,2,9,,,
504,26000000,9800,tt0107818,en,Philadelphia,13.373006,1993-12-22 00:00:00,206678440,125,Philadelphia,7.6,1019,52000000,t,4,81,15,203,44,473,47,266,9,45,1187,3534.5,2.9776748104465036
505,7000000,713,tt0107822,en,The Piano,7.436758,1993-05-19 00:00:00,116700000,121,The Piano,7.1,290,14000000,t,26,215,29,292,51,543,33,134,4,27,1354,3416.5,2.5232644017725256
506,14000000,8291,tt0107840,en,Poetic Justice,6.972599,1993-07-23 00:00:00,27515786,109,Poetic Justice,6.9,47,28000000,f,10,63,7,148,17,377,76,455,35,232,1420,4951.5,3.4869718309859157
507,0,18133,tt0107889,en,The Program,3.199976,1993-09-24 00:00:00,23042200,112,The Program,6,28,0,t,6,59,15,259,80,1045,321,1214,147,341,3487,12283.5,3.522655577860625
508,0,25557,tt0111003,en,The Puppet Masters,7.272296,1994-10-21 00:00:00,8638072,109,The Puppet Masters,5.6,41,0,t,91,244,122,690,511,4733,1988,7855,1499,4228,21961,83592.5,3.8064068120759527
509,0,22588,tt0110939,en,Radioland Murders,8.506727,1994-10-21 00:00:00,0,108,Radioland Murders,5.8,12,0,t,145,676,118,1072,365,4293,1022,5811,914,4077,18493,68180,3.6868004109663115
510,11000000,10872,tt0110955,en,The Ref,5.868677,1994-03-09 00:00:00,11439193,97,The Ref,6.7,99,22000000,f,5,90,10,198,29,428,28,103,6,35,932,2572,2.759656652360515
511,11500000,1245,tt0107943,en,The Remains of the Day,12.222576,1993-11-05 00:00:00,23237911,134,The Remains of the Day,7.5,213,23000000,t,4,92,8,238,43,749,48,391,12,135,1720,5397.5,3.1380813953488373
512,40000000,11858,tt0110971,en,Renaissance Man,4.985157,1994-06-03 00:00:00,24332324,128,Renaissance Man,5.9,83,80000000,f,16,112,11,242,45,483,50,265,18,60,1302,3798,2.9170506912442398
513,0,7007,tt0107969,en,Rising Sun,6.279082,1993-07-30 00:00:00,107198790,125,Rising Sun,5.8,188,0,t,4,53,5,121,14,212,17,136,5,35,602,1776.5,2.950996677740864
514,0,10467,tt0111001,en,The Road to Wellville,3.416181,1994-10-28 00:00:00,0,118,The Road to Wellville,5.5,43,0,t,13,105,19,359,89,1851,259,1569,99,516,4879,16841.5,3.451834392293503
515,22000000,5550,tt0107978,en,RoboCop 3,8.685798,1993-04-17 00:00:00,10696210,104,RoboCop 3,4.2,309,44000000,f,34,155,44,391,137,2438,497,4376,520,2906,11498,44790,3.8954600800139154
516,20000000,8005,tt0107977,en,Robin Hood: Men in Tights,17.136672,1993-07-28 00:00:00,35739755,104,Robin Hood: Men in Tights,6.4,575,40000000,f,22,165,28,464,106,1633,152,793,25,169,3557,10971.5,3.084481304470059
517,11500000,2088,tt0107983,en,Romeo Is Bleeding,9.796318,1993-09-13 00:00:00,3275585,100,Romeo Is Bleeding,5.7,36,23000000,f,12,121,36,532,145,1444,256,910,36,166,3658,11467.5,3.134909786768726
518,0,10412,tt0105275,en,Romper Stomper,5.157926,1992-03-05 00:00:00,0,94,Romper Stomper,6.6,126,0,t,15,165,20,292,53,418,68,187,12,46,1276,3443,2.6982758620689653
519,800000,47889,tt0108000,en,Ruby in Paradise,0.941994,1993-10-08 00:00:00,1001437,114,Ruby in Paradise,5.6,10,1600000,f,349,1161,315,1312,390,1545,233,349,53,114,5821,13062,2.243944339460574
520,12000000,14534,tt0108002,en,Rudy,5.914833,1993-09-17 00:00:00,22750363,114,Rudy,7.2,187,24000000,f,283,1025,452,2141,1096,5114,1909,3103,704,1023,16850,51585,3.0614243323442136
521,0,56583,tt0108026,en,The Saint of Fort Washington,1.065843,1993-11-03 00:00:00,0,99,The Saint of Fort Washington,4,5,0,t,5,94,8,206,39,901,84,682,22,204,2245,7462,3.3238307349665925
522,0,41878,tt0105032,fr,Les Nuits Fauves,1.031556,1992-08-19 00:00:00,0,126,Savage Nights,6.2,11,0,t,8,30,8,75,56,316,187,451,94,124,1349,4785.5,3.5474425500370645
523,22000000,424,tt0108052,en,Schindler's List,41.725123,1993-11-29 00:00:00,321365567,195,Schindler's List,8.3,4436,44000000,t,1,24,2,61,5,275,21,381,15,158,943,3442,3.6500530222693532
524,0,35233,tt0111094,en,The Scout,5.715608,1994-09-30 00:00:00,0,101,The Scout,5.3,37,0,t,121,233,128,554,373,2373,928,2659,579,1215,9163,32209.5,3.5151697042453347
525,0,14291,tt0108065,en,Searching for Bobby Fischer,12.048587,1993-08-13 00:00:00,7266383,110,Searching for Bobby Fischer,7.3,100,0,t,,6,,19,7,63,11,51,3,21,,,
526,0,103413,tt0111102,en,Second Best,0.882596,1994-09-30 00:00:00,0,105,Second Best,5.9,8,0,t,,15,2,19,4,39,1,42,4,15,,,
527,0,11236,tt0108071,en,The Secret Garden,6.499523,1993-08-13 00:00:00,0,102,The Secret Garden,7.1,232,0,t,434,583,258,1175,783,5571,3860,17987,8077,28934,67662,288682,4.266530696698294
528,13000000,11592,tt0111127,en,Serial Mom,5.305311,1994-04-13 00:00:00,7820688,95,Serial Mom,6.4,137,26000000,f,9,73,12,184,28,472,16,123,2,24,943,2626.5,2.78525980911983
529,25000000,8850,tt0111143,en,The Shadow,7.881107,1994-07-01 00:00:00,48063435,108,The Shadow,5.4,140,50000000,f,37,102,39,299,193,2596,813,4788,587,2199,11653,44681.5,3.834334506135759
530,22000000,10445,tt0108101,en,Shadowlands,2.96586,1993-12-25 00:00:00,0,131,Shadowlands,6.8,61,44000000,f,1,3,,5,1,13,4,9,,2,,,
531,0,695,tt0108122,en,Short Cuts,8.829337,1993-09-05 00:00:00,6110979,187,Short Cuts,6.9,136,0,t,119,227,122,518,385,2443,946,2803,380,1188,9131,31970,3.5012594458438286
532,0,43535,tt0111194,en,A Simple Twist of Fate,4.13516,1994-09-02 00:00:00,0,106,A Simple Twist of Fate,5.7,26,0,t,74,547,73,875,196,2259,311,1439,105,503,6382,19542.5,3.0621278596051393
533,0,12519,tt0111201,en,Sirens,2.86213,1993-10-01 00:00:00,7770731,98,Sirens,5.2,31,0,t,28,268,50,695,127,1880,150,683,23,173,4077,11930,2.9261712043168995
534,0,23210,tt0108149,en,Six Degrees of Separation,8.730025,1993-12-08 00:00:00,0,112,Six Degrees of Separation,6.5,75,0,t,4,65,10,144,41,1303,179,1827,136,1348,5057,19668,3.8892624085426144
535,21000000,858,tt0108160,en,Sleepless in Seattle,10.234919,1993-06-24 00:00:00,227799884,105,Sleepless in Seattle,6.5,630,42000000,t,21,119,22,295,81,1435,279,2052,313,1266,5883,22183,3.7706952235254123
536,40000000,867,tt0108162,en,Sliver,11.23297,1993-05-21 00:00:00,116300000,108,Sliver,4.9,144,80000000,t,3,32,2,75,18,322,35,225,7,59,778,2546.5,3.2731362467866325
537,28000000,78,tt0083658,en,Blade Runner,96.272374,1982-06-25 00:00:00,33139618,117,Blade Runner,7.9,3833,56000000,f,12,152,25,409,89,1628,116,864,23,222,3540,11195.5,3.1625706214689266
538,0,13203,tt0108186,en,Son in Law,9.122718,1993-07-02 00:00:00,36448200,95,Son in Law,5.6,81,0,t,20,90,22,263,93,1473,299,1994,172,966,5392,19937,3.697514836795252
539,20000000,10442,tt0108174,en,So I Married an Axe Murderer,8.051914,1993-07-30 00:00:00,11585483,93,So I Married an Axe Murderer,6.1,131,40000000,f,246,718,365,1821,1239,9282,2508,9550,1006,4399,31134,109474,3.5162202094173574
540,30,11074,tt0108238,en,Striking Distance,13.390917,1993-09-17 00:00:00,0,102,Striking Distance,5.4,223,60,f,62,530,131,1028,241,2309,188,614,31,171,5305,14451.5,2.7241281809613573
541,0,33367,tt0089256,en,Harem,1.825468,1985-11-20 00:00:00,0,113,Harem,4,4,0,t,161,337,177,1023,769,4064,2822,10208,4701,12890,37152,153157,4.12244293712317
542,48000000,9607,tt0108255,en,Super Mario Bros.,7.198455,1993-05-28 00:00:00,20915465,104,Super Mario Bros.,4,236,96000000,f,84,418,97,556,143,1396,187,664,39,242,3826,10959,2.8643491897543125
543,7400000,17585,tt0111323,en,Surviving the Game,3.644641,1994-04-15 00:00:00,7690013,96,Surviving the Game,6.1,53,14800000,f,250,576,289,1492,828,4385,1523,3285,519,1158,14305,45939.5,3.2114295700803916
544,50000000,9057,tt0111400,en,Terminal Velocity,8.012225,1994-09-23 00:00:00,16478900,102,Terminal Velocity,5,82,100000000,f,14,131,35,375,66,1113,76,397,7,75,2289,6705,2.929226736566186
545,0,20967,tt0108328,en,Thirty Two Short Films About Glenn Gould,0.873068,1993-11-26 00:00:00,0,93,Thirty Two Short Films About Glenn Gould,7.4,9,0,t,1,9,,8,,33,1,2,,4,,,
546,0,10635,tt0111418,en,Threesome,10.82236,1994-04-08 00:00:00,0,93,Threesome,6.3,57,0,t,544,1576,378,1325,374,1355,271,357,55,116,6351,13269,2.089277279168635
547,18000000,9479,tt0107688,en,The Nightmare Before Christmas,17.730913,1993-10-09 00:00:00,75634409,76,The Nightmare Before Christmas,7.6,2135,36000000,t,9,78,18,180,34,301,33,172,4,28,857,2419,2.8226371061843643
548,30000000,10057,tt0108333,en,The Three Musketeers,6.34785,1993-11-11 00:00:00,53898845,105,The Three Musketeers,6.2,219,60000000,f,20,184,37,494,141,1395,73,498,10,99,2951,8562.5,2.9015587936292784
549,25000000,11969,tt0108358,en,Tombstone,11.338194,1993-12-25 00:00:00,56505065,130,Tombstone,7.4,632,50000000,t,6,35,5,78,9,286,47,528,65,426,1485,5781,3.892929292929293
550,0,41590,tt0111488,en,Trial by Jury,0.85586,1994-09-09 00:00:00,0,107,Trial by Jury,5.5,5,0,t,21,207,33,501,98,1480,101,756,22,258,3477,10720.5,3.0832614322691976
551,12500000,319,tt0108399,en,True Romance,17.189328,1993-09-09 00:00:00,12281551,120,True Romance,7.5,762,25000000,f,101,549,134,1208,500,5096,2045,7141,2063,4461,23298,87064.5,3.736994591810456
552,0,26408,tt0108515,en,The War Room,1.273617,1993-12-05 00:00:00,0,96,The War Room,7.3,19,0,t,171,476,316,1415,947,5353,1473,3469,401,916,14937,47708,3.1939479145745464
553,27000000,15139,tt0110763,en,The Pagemaster,7.436001,1994-11-23 00:00:00,13670688,80,The Pagemaster,6.2,178,54000000,f,64,258,78,753,343,4636,1167,5097,819,3047,16262,60071.5,3.6939798302791784
554,0,161158,tt0107779,en,"Paris, France",0.741522,1994-02-04 00:00:00,0,112,"Paris, France",6,2,0,t,4,25,5,75,4,257,6,133,1,28,538,1663,3.091078066914498
555,0,218473,tt0109226,en,"The Beans of Egypt, Maine",0.38247,1994-01-01 00:00:00,0,0,"The Beans of Egypt, Maine",0,1,0,t,51,258,93,646,316,3658,1445,5908,1340,3325,17040,64823.5,3.8041960093896714
556,0,85247,tt0110259,en,Killer,0.422224,1994-09-14 00:00:00,0,97,Killer,3,2,0,t,4,15,1,26,9,205,83,561,78,301,1283,5098.5,3.9738893219017926
558,0,51980,tt0107002,en,Germinal,2.759302,1993-09-29 00:00:00,0,160,Germinal,6.3,43,0,t,22,185,40,316,96,527,100,242,45,88,1661,4669.5,2.8112582781456954
559,0,24405,tt0109403,en,Chasers,9.85327,1994-04-22 00:00:00,1596687,102,Chasers,4.7,22,0,t,1,7,,14,2,15,,9,1,6,,,
560,0,11655,tt0104029,en,Cronos,5.513024,1993-09-12 00:00:00,0,94,Cronos,6.4,153,0,t,,2,,9,,16,1,13,,,,,
561,0,11800,tt0110623,en,Naked in New York,0.449733,1993-11-10 00:00:00,0,95,Naked in New York,4,3,0,t,5,11,,19,4,72,7,75,4,35,,,
562,0,8223,tt0107315,es,Kika,3.647321,1993-10-28 00:00:00,0,117,Kika,6.8,58,0,t,57,172,43,362,165,1262,487,2574,443,1428,6993,26321.5,3.763978263978264
563,0,14587,tt0106408,en,Bhaji on the Beach,0.441585,1994-01-21 00:00:00,0,100,Bhaji on the Beach,5.1,10,0,t,1,15,,25,4,127,16,127,8,38,,,
564,0,31504,tt0110363,en,Little Big League,1.960563,1994-06-29 00:00:00,0,119,Little Big League,6,20,0,t,7,64,11,102,15,108,7,33,,2,,,
565,0,41653,tt0107349,sv,Kådisbellan,1.764582,1993-09-24 00:00:00,0,102,The Slingshot,6.2,10,0,t,5,52,10,96,30,244,105,222,31,51,846,2718.5,3.2133569739952716
566,0,53185,tt0111709,en,Wide Eyed and Legless,0.00015,1993-09-05 00:00:00,0,102,Wide Eyed and Legless,0,0,0,t,2,9,3,29,6,78,5,19,,3,,,
567,0,95743,tt0109828,en,Foreign Student,0.002789,1994-07-29 00:00:00,0,90,Foreign Student,0,0,0,t,3,13,3,37,21,116,59,117,20,33,422,1423,3.3720379146919433
568,0,23637,tt0107225,en,Io speriamo che me la cavo,3.456868,1992-10-01 00:00:00,0,100,"Ciao, Professore!",7.2,74,0,t,,12,1,19,4,136,15,156,6,46,,,
569,200000,17600,tt0111252,en,Spanking the Monkey,2.799575,1994-01-15 00:00:00,0,106,Spanking the Monkey,5.3,29,400000,f,8,110,28,268,53,833,62,312,8,61,1743,5129.5,2.9429145152036718
570,0,10897,tt0110366,en,The Little Rascals,6.707109,1994-08-05 00:00:00,67308282,82,The Little Rascals,6.3,214,0,t,,16,,14,5,62,13,85,7,26,,,
571,0,349394,tt0106878,en,À la mode,8.2e-05,1993-09-10 00:00:00,0,82,À la mode,0,0,0,t,1,2,1,19,3,54,7,92,2,30,211,763,3.6161137440758293
572,0,21352,tt0109120,en,Andre,3.139316,1994-08-17 00:00:00,0,94,Andre,5,31,0,t,1,3,,14,2,9,1,7,,1,,,
573,0,68806,tt0108059,it,La scorta,0.046196,1993-01-01 00:00:00,0,92,The Escort,5,5,0,t,4,10,1,20,4,52,11,77,6,28,213,733,3.4413145539906105
574,0,37345,tt0110892,en,Princess Caraboo,1.943323,1994-09-16 00:00:00,3021629,97,Princess Caraboo,4.4,5,0,t,10,75,5,170,30,440,67,495,22,118,1432,4726,3.3002793296089385
575,0,32562,tt0112651,en,The Celluloid Closet,6.784687,1996-01-30 00:00:00,0,102,The Celluloid Closet,7,24,0,t,51,202,53,405,168,1092,234,549,87,217,3058,9304.5,3.0426749509483324
576,0,47507,tt0107642,en,Métisse,1.040873,1993-01-01 00:00:00,0,94,Café au Lait,6.8,4,0,t,1,3,2,5,1,11,,2,,1,,,
577,0,25403,tt0109382,it,Caro diario,2.904734,1993-10-12 00:00:00,0,100,Dear Diary,6.9,46,0,t,10,77,16,118,28,222,34,121,6,33,665,1873,2.8165413533834585
579,0,9066,tt0112572,en,The Brady Bunch Movie,4.233092,1995-02-16 00:00:00,0,84,The Brady Bunch Movie,5.9,87,0,t,1,1,,8,3,15,2,8,1,2,,,
580,18000000,771,tt0099785,en,Home Alone,0.702543,1990-11-09 00:00:00,476684675,103,Home Alone,7.1,2487,36000000,t,1,33,2,103,23,244,15,139,9,28,597,1821,3.050251256281407
581,22000000,251,tt0099653,en,Ghost,11.945397,1990-07-12 00:00:00,505000000,127,Ghost,6.9,1381,44000000,t,11,29,1,52,15,342,87,774,74,575,1960,7812,3.9857142857142858
582,28000000,812,tt0103639,en,Aladdin,16.357419,1992-11-25 00:00:00,504050219,90,Aladdin,7.4,3495,56000000,t,1,9,,15,1,51,3,35,2,23,,,
583,100000000,280,tt0103064,en,Terminator 2: Judgment Day,22.661695,1991-07-01 00:00:00,520000000,137,Terminator 2: Judgment Day,7.7,4274,200000000,t,4,15,1,24,3,66,12,85,8,55,273,965,3.5347985347985347
584,22000000,581,tt0099348,en,Dances with Wolves,11.654349,1990-11-09 00:00:00,424208848,181,Dances with Wolves,7.6,1084,44000000,t,1,2,,3,,14,1,7,,2,,,
585,0,80350,tt0114706,en,Tough and Deadly,0.426887,1995-02-14 00:00:00,0,92,Tough and Deadly,6.3,4,0,t,722,1318,405,1699,640,3704,570,1579,95,373,11105,29000,2.6114362899594776
586,35000000,268,tt0096895,en,Batman,19.10673,1989-06-23 00:00:00,411348924,126,Batman,7,2145,70000000,t,476,1657,705,3319,1988,10713,3013,6557,950,2069,31447,98093,3.1193118580468724
587,19000000,274,tt0102926,en,The Silence of the Lambs,4.307222,1991-02-01 00:00:00,272742922,119,The Silence of the Lambs,8.1,4549,38000000,t,254,885,377,2356,1255,9928,2466,8964,821,4299,31605,108887.5,3.4452618256604968
588,1488423,408,tt0029583,en,Snow White and the Seven Dwarfs,16.263878,1937-12-20 00:00:00,184925486,83,Snow White and the Seven Dwarfs,6.9,1973,2976846,t,253,904,282,2068,1148,13761,3782,16759,2693,8725,50375,185759,3.6875235732009926
589,25000000,10020,tt0101414,en,Beauty and the Beast,23.433511,1991-11-13 00:00:00,377350553,84,Beauty and the Beast,7.5,3029,50000000,t,335,744,332,1867,1099,10526,4773,20605,5595,15960,61836,243572,3.9389999353127627
590,2600000,10895,tt0032910,en,Pinocchio,14.202284,1940-02-23 00:00:00,84300000,88,Pinocchio,6.9,1412,5200000,t,228,966,338,2395,1049,12919,3092,17171,2246,10934,51338,192039.5,3.740689158128482
591,14000000,114,tt0100405,en,Pretty Woman,13.348451,1990-03-23 00:00:00,463000000,119,Pretty Woman,7,1807,28000000,t,,14,1,9,,8,,3,,1,,,
592,0,41043,tt0110719,ru,Окно в Париж,0.345748,1993-12-01 00:00:00,0,87,Window to Paris,6,6,0,t,174,1035,296,3577,1317,22186,4219,15159,1841,3913,53717,181822.5,3.3848223095109558
593,6244087,576,tt0065214,en,The Wild Bunch,11.722424,1969-06-17 00:00:00,638641,145,The Wild Bunch,7.7,266,12488174,f,566,841,280,1572,964,8529,5509,27231,9416,29170,84078,349112.5,4.15224553390899
594,0,15477,tt0110395,en,Love and a .45,3.40523,1994-11-23 00:00:00,0,101,Love and a .45,5.5,15,0,t,205,420,237,1133,738,5486,1815,5937,871,3371,20213,72322,3.5779943600653046
595,0,59146,tt0111752,en,The Wooden Man's Bride,0.088451,1994-02-05 00:00:00,0,113,The Wooden Man's Bride,6.5,1,0,t,275,898,275,1995,994,11439,2824,12305,1838,8440,41283,151815,3.677421699004433
596,0,124472,tt0109934,en,A Great Day in Harlem,0.076352,1994-09-27 00:00:00,0,60,A Great Day in Harlem,7,2,0,t,273,413,294,973,783,4100,1616,4280,698,2055,15485,53386,3.4475944462382953
597,0,30528,tt0112606,en,Bye Bye Love,2.47308,1995-03-16 00:00:00,0,106,Bye Bye Love,6.1,20,0,t,356,1004,495,2556,1692,11789,3446,10050,1397,4620,37405,128281,3.429514770752573
598,0,7300,tt0117247,en,One Fine Day,7.009946,1996-12-20 00:00:00,97529550,108,One Fine Day,6.1,160,0,t,1,5,2,6,1,38,19,60,10,19,161,583.5,3.624223602484472
599,0,10824,tt0112625,en,Candyman: Farewell to the Flesh,4.983552,1995-03-17 00:00:00,13940383,93,Candyman: Farewell to the Flesh,5,64,0,t,23,34,12,123,57,530,254,1190,290,992,3505,13956,3.981740370898716
600,0,261246,tt0106537,en,Century,1.461029,1993-12-31 00:00:00,0,112,Century,5,1,0,t,4,28,3,56,14,99,13,72,1,25,315,941.5,2.988888888888889
601,7000000,275,tt0116282,en,Fargo,12.61469,1996-04-05 00:00:00,60611975,98,Fargo,7.7,2080,14000000,t,2,13,,9,1,39,2,19,1,33,,,
602,0,25059,tt0116552,en,Homeward Bound II: Lost in San Francisco,14.657754,1996-03-08 00:00:00,32709423,89,Homeward Bound II: Lost in San Francisco,6,105,0,t,5,11,1,13,2,46,9,133,9,127,356,1423,3.997191011235955
603,9300000,11827,tt0082509,en,Heavy Metal,7.640073,1981-08-07 00:00:00,0,90,Heavy Metal,6.3,150,18600000,f,3,45,6,120,25,235,18,135,5,30,622,1838.5,2.9557877813504825
604,4000000,8766,tt0116514,en,Hellraiser: Bloodline,5.263187,1996-03-08 00:00:00,16675000,86,Hellraiser: Bloodline,4.9,111,8000000,t,2,3,,1,,,,4,,2,,,
605,8000000,23570,tt0117283,en,The Pallbearer,8.174116,1996-05-03 00:00:00,0,97,The Pallbearer,4.6,30,16000000,f,21,104,38,407,158,1392,246,973,94,370,3803,12582.5,3.308572179858007
606,0,47333,tt0116684,en,Jane Eyre,2.420301,1996-02-09 00:00:00,0,112,Jane Eyre,7.1,51,0,t,52,263,19,328,43,578,27,201,3,71,1585,4082,2.5753943217665616
607,500000,54850,tt0110374,en,Loaded,0.618066,1996-04-12 00:00:00,0,91,Loaded,4,3,1000000,f,,5,,2,1,10,,4,,2,,,
2845,0,97537,tt0187712,en,Beefcake,0.653879,1998-09-01 00:00:00,0,97,Beefcake,4.6,10,0,t,2,14,1,9,2,11,,9,,2,,,
608,0,51242,tt0070506,it,Pane e cioccolata,1.306628,1974-05-05 00:00:00,0,100,Bread and Chocolate,7.1,10,0,t,214,823,160,1516,674,6054,3252,16079,5666,18036,52474,215424,4.105347410145977
609,4000000,10112,tt0065421,en,The Aristocats,9.834047,1970-12-23 00:00:00,55675257,78,The Aristocats,7.1,1287,8000000,t,42,229,43,350,100,1172,97,536,22,248,2839,8603,3.0302923564635433
610,0,4307,tt0113083,es,La flor de mi secreto,2.286788,1995-09-22 00:00:00,0,107,The Flower of My Secret,6.9,43,0,t,89,395,87,883,264,2633,505,2299,215,1260,8630,29126,3.374971031286211
611,0,46029,tt0118001,en,Two Much,1.620174,1996-02-14 00:00:00,0,118,Two Much,5.1,24,0,t,48,401,48,368,65,546,77,252,7,97,1909,4827.5,2.5288108957569406
612,0,32308,tt0116165,en,Ed,5.174212,1996-03-15 00:00:00,0,94,Ed,3.6,24,0,t,29,198,25,323,47,748,20,179,3,104,1676,4577,2.73090692124105
613,0,88893,tt0102855,de,Schrei aus Stein,0.736081,1991-01-01 00:00:00,0,105,Scream of Stone,7.5,4,0,t,31,83,16,154,48,771,130,1029,100,519,2881,10479.5,3.63745227351614
614,0,52873,tt0107471,fr,Ma saison préférée,0.516924,1993-05-14 00:00:00,0,127,My Favorite Season,6.4,4,0,t,1,15,1,29,2,64,1,27,1,27,168,523,3.113095238095238
615,0,123505,tt0113839,en,A Modern Affair,0.173207,1996-09-06 00:00:00,0,90,A Modern Affair,5,1,0,t,3,29,,22,4,128,14,265,13,185,,,
616,0,340210,tt0112712,en,Condition Red,0.793932,1995-12-08 00:00:00,0,83,Condition Red,4.7,3,0,t,125,258,136,675,442,3260,960,2528,362,1011,9757,32915.5,3.373526698780363
617,0,44281,tt0090665,en,Asfour Stah,1.983301,1990-01-01 00:00:00,0,98,Halfaouine: Boy of the Terraces,7.4,5,0,t,1,29,1,27,8,164,41,181,26,97,575,2066.5,3.5939130434782607
618,0,28121,tt0117891,en,A Thin Line Between Love and Hate,2.256747,1996-04-04 00:00:00,0,108,A Thin Line Between Love and Hate,5.7,15,0,t,5,60,4,72,7,148,9,37,2,35,379,1037.5,2.737467018469657
619,0,12520,tt0113613,en,The Last Supper,4.619915,1995-09-08 00:00:00,442965,92,The Last Supper,6.5,82,0,t,30,143,15,141,37,229,33,74,3,75,780,2042,2.617948717948718
620,30000000,1592,tt0117381,en,Primal Fear,10.326213,1996-04-03 00:00:00,102616183,129,Primal Fear,7.4,644,60000000,t,,1,1,7,1,15,2,9,1,6,,,
621,0,166901,tt0114305,en,Rude,0.065827,1995-09-08 00:00:00,0,89,Rude,6,1,0,t,2,12,2,11,1,113,9,133,4,52,339,1221,3.601769911504425
623,0,19042,tt0115509,en,All Dogs Go to Heaven 2,5.028897,1996-03-29 00:00:00,8620678,82,All Dogs Go to Heaven 2,5,50,0,t,,5,,5,1,13,1,15,,6,,,
624,0,38884,tt0114671,en,Land and Freedom,6.144235,1995-01-01 00:00:00,0,109,Land and Freedom,7,53,0,t,,8,2,11,5,24,,3,,4,,,
625,0,47449,tt0112844,en,Denise Calls Up,0.466476,1995-05-17 00:00:00,0,80,Denise Calls Up,6.6,5,0,t,1,,,3,1,13,1,10,,2,,,
626,33500000,36259,tt0114658,en,Theodore Rex,2.583686,1995-12-14 00:00:00,0,92,Theodore Rex,3.6,17,67000000,f,12,92,9,116,10,251,5,99,,88,,,
627,0,41852,tt0116275,en,A Family Thing,6.207993,1996-03-29 00:00:00,0,109,A Family Thing,5.6,14,0,t,5,57,8,157,32,583,138,610,54,293,1937,6845.5,3.5340733092410943
628,0,40926,tt0113122,en,Frisk,0.319215,1996-03-22 00:00:00,0,88,Frisk,3,3,0,t,36,146,40,448,204,3271,934,4733,856,2034,12702,47666,3.752637379940167
629,0,9099,tt0117608,en,Sgt. Bilko,5.70904,1996-03-29 00:00:00,0,90,Sgt. Bilko,5.5,96,0,t,,4,,3,1,8,2,7,,4,,,
630,0,2021,tt0113448,en,Jack & Sarah,1.523446,1995-06-02 00:00:00,218626,110,Jack & Sarah,5.1,10,0,t,,14,1,34,2,83,5,51,,47,,,
631,12000000,61752,tt0116414,en,Girl 6,4.405169,1996-03-22 00:00:00,4939939,108,Girl 6,5.7,17,24000000,f,91,361,63,391,102,931,99,345,24,211,2618,7220.5,2.7580213903743314
632,0,10988,tt0116095,en,Diabolique,4.530079,1996-03-22 00:00:00,0,107,Diabolique,5.4,74,0,t,7,6,,15,7,71,33,97,35,127,,,
633,0,11479,tt0111543,fr,Un indien dans la ville,4.728163,1994-12-14 00:00:00,0,90,"Little Indian, Big City",6,145,0,t,,20,1,48,3,112,5,94,2,63,,,
634,0,398959,tt0117517,de,Roula - Dunkle Geheimnisse,0.149157,1995-09-11 00:00:00,0,97,Roula,5,1,0,t,16,103,6,80,1,111,1,19,,27,,,
635,0,287305,tt0117312,de,Peanuts – Die Bank zahlt alles,0.066123,1996-03-21 00:00:00,0,,Peanuts – Die Bank zahlt alles,4,1,0,t,,35,2,39,8,410,32,418,6,207,,,
